SNO,LEAGUE_ID,CLUB_ID,TEAM,TEAM_URL,TEAM_ID,TEAM_CLUB_ID,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS,League Name
7,576,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,16,6,9,1,0,26,40.00%,-0.7046,2643/586.2,2766/530.4,2643,586.2,2766,530.4,2023 Titans Second League
8,576,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,16,5,10,1,0,22,33.33%,-0.5236,2403/562.4,2724/568.1,2403,562.4,2724,568.1,2023 Titans Second League
9,576,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,16,4,11,1,0,18,26.67%,-1.0290,2516/638.1,2823/567.5,2516,638.1,2823,567.5,2023 Titans Second League
10,576,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3301&clubId=32995,3301,32995,-,-,-,-,-,-,-,-,-,-,-,,-,,2023 Titans Second League
1,18,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,18,14,2,2,0,60,87.50%,2.0094,2004/328.4,1456/356.1,2004,328.4,1456,356.1,Titans Second League
2,18,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,18,11,3,4,0,52,78.57%,2.8203,1940/255.3,1711/358.3,1940,255.3,1711,358.3,Titans Second League
3,18,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,18,9,4,5,0,46,69.23%,-0.7478,1142/258.3,1331/257.4,1142,258.3,1331,257.4,Titans Second League
4,18,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,18,9,4,5,0,44,69.23%,0.3046,1599/264.5,1504/262.2,1599,264.5,1504,262.2,Titans Second League
5,18,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,18,8,5,5,0,40,61.54%,-0.4910,1108/225.0,1084/200.1,1108,225.0,1084,200.1,Titans Second League
6,18,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,18,6,8,4,0,32,42.86%,0.3026,2246/364.3,2124/362.3,2246,364.3,2124,362.3,Titans Second League
7,18,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,18,3,6,9,0,24,33.33%,0.0038,1574/300.0,1475/281.2,1574,300.0,1475,281.2,Titans Second League
8,18,32995,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,18,3,9,6,0,24,25.00%,-3.5566,1031/274.5,1218/166.4,1031,274.5,1218,166.4,Titans Second League
9,18,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,18,1,11,6,0,12,8.33%,-8.1114,232/320.0,972/110.0,232,320.0,972,110.0,Titans Second League
10,18,32995,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,18,0,12,6,0,6,0.00%,-12.6596,83/315.0,84/6.3,83,315.0,84,6.3,Titans Second League
