SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
124,576,32995,Berno Klopper,3180553,SINOVILLE 3,,SINOVILLE 3,3302,7,4,11.3,84,2,13/ 1,0,28,7.30,42.00,34.5,0,0,0,11,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
125,576,32995,Bernard Wentzel,3928433,CBCOB 3,,CBCOB 3,3298,5,5,25.3,205,2,31/ 1,3,70,8.04,102.50,76.5,0,0,0,14,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
126,576,32995,Gerrie Marais,3783169,HARLEQUINS 3,,HARLEQUINS 3,3306,3,3,8.0,67,2,13/ 1,0,24,8.38,33.50,24.0,0,0,0,5,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
127,576,32995,Pieter Janse van Rensburg,2934773,SINOVILLE 3,,SINOVILLE 3,3302,1,1,0.4,1,1,1/ 1,0,0,1.50,1.00,4.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
128,576,32995,Marco Rudolph,3795245,SINOVILLE 4,,SINOVILLE 4,3303,2,1,1.0,2,1,2/ 1,0,6,2.00,2.00,6.0,0,0,0,2,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
129,576,32995,Maritz Bezuidenhout,3180554,SINOVILLE 4,,SINOVILLE 4,3303,1,1,2.0,5,1,5/ 1,0,9,2.50,5.00,12.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
130,576,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,3305,5,1,1.1,3,1,3/ 1,0,5,2.57,3.00,7.0,0,0,0,0,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
131,576,32995,Leon Bender,3730114,CBCOB 3,,CBCOB 3,3298,4,1,8.0,21,1,21/ 1,1,38,2.62,21.00,48.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
132,576,32995,Christo Bornman,4165764,SINOVILLE 4,,SINOVILLE 4,3303,1,1,3.0,10,1,10/ 1,0,14,3.33,10.00,18.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
133,576,32995,Henco Irene,4063609,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,6.0,21,1,21/ 1,1,27,3.50,21.00,36.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
134,576,32995,Donavan Kretschmer,3018251,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,3,3,12.0,43,1,12/ 1,1,51,3.58,43.00,72.0,0,0,0,5,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
135,576,32995,Walli Vayani,4081461,PHSOB 3,,PHSOB 3,3300,2,1,0.5,3,1,3/ 1,0,4,3.60,3.00,5.0,0,0,0,2,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
136,576,32995,Dian Botha,2934759,SINOVILLE 3,,SINOVILLE 3,3302,1,1,9.0,33,1,33/ 1,0,37,3.67,33.00,54.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
137,576,32995,Mikky Hudson,3745386,TUKS 5,,TUKS 5,3304,6,1,3.0,11,1,11/ 1,0,15,3.67,11.00,18.0,0,0,0,1,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
138,576,32995,Burgert Kloppers,3783168,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,9.0,33,1,33/ 1,1,39,3.67,33.00,54.0,0,0,0,5,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
139,576,32995,Christo Borman,3928458,SINOVILLE 3,,SINOVILLE 3,3302,1,1,2.0,8,1,8/ 1,0,0,4.00,8.00,12.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
140,576,32995,Lee-John Maans,3759628,TUKS 5,,TUKS 5,3304,1,1,3.0,13,1,13/ 1,0,10,4.33,13.00,18.0,0,0,0,2,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
141,576,32995,Gerrie Viljoen,4081456,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,8.0,35,1,35/ 1,2,36,4.38,35.00,48.0,0,0,0,2,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
142,576,32995,Adam Richards,4116050,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,8.0,35,1,35/ 1,0,29,4.38,35.00,48.0,0,0,0,3,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
143,576,32995,Jeandre Van molledorf,4063992,SINOVILLE 3,,SINOVILLE 3,3302,1,1,7.0,31,1,31/ 1,0,27,4.43,31.00,42.0,0,0,0,4,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
144,576,32995,Dillon Kotze,3729565,CBCOB 3,,CBCOB 3,3298,2,1,2.4,12,1,12/ 1,0,10,4.50,12.00,16.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
145,576,32995,Ivan Schoeman,3759630,SINOVILLE 3,,SINOVILLE 3,3302,1,1,2.5,13,1,13/ 1,0,11,4.59,13.00,17.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
146,576,32995,Juan Van den berg,2987480,SINOVILLE 4,,SINOVILLE 4,3303,1,1,9.0,42,1,42/ 1,1,35,4.67,42.00,54.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
147,576,32995,Dian Van der Walt,2936868,CBCOB 3,,CBCOB 3,3298,2,2,5.0,24,1,13/ 1,1,23,4.80,24.00,30.0,0,0,0,15,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
148,576,32995,Wayne Scott,3056109,CBCOB 3,,CBCOB 3,3298,2,1,3.0,15,1,15/ 1,0,12,5.00,15.00,18.0,0,0,0,3,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
149,576,32995,Keldon van Zyl,3812052,SINOVILLE 3,,SINOVILLE 3,3302,2,2,7.0,35,1,15/ 1,0,18,5.00,35.00,42.0,0,0,0,6,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
150,576,32995,Ryan Seymore,4100168,TUT 3,,TUT 3,3305,1,1,8.0,41,1,41/ 1,1,31,5.12,41.00,48.0,0,0,0,1,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
151,576,32995,Sam Wearne,4163812,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,2,7.0,37,1,23/ 1,0,28,5.29,37.00,42.0,0,0,0,11,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
152,576,32995,Joe Vickery,3783170,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,6.0,35,1,35/ 1,0,18,5.83,35.00,36.0,0,0,0,5,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
153,576,32995,Ian Dorfling,4063612,SINOVILLE 3,,SINOVILLE 3,3302,3,2,7.0,44,1,24/ 1,0,26,6.29,44.00,42.0,0,0,0,7,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
154,576,32995,JG Adendorff,4198488,SINOVILLE 4,,SINOVILLE 4,3303,1,1,6.0,38,1,38/ 1,0,11,6.33,38.00,36.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
155,576,32995,Dries Van der Lith,2934771,SINOVILLE 4,,SINOVILLE 4,3303,2,2,13.0,84,1,33/ 1,0,47,6.46,84.00,78.0,0,0,0,14,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
156,576,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,3305,5,1,4.0,26,1,26/ 1,0,11,6.50,26.00,24.0,0,0,0,0,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
157,576,32995,Duane Kruger,3928459,SINOVILLE 3,,SINOVILLE 3,3302,1,1,2.0,13,1,13/ 1,0,0,6.50,13.00,12.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
158,576,32995,Gary Joshua,4198495,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,2.0,14,1,14/ 1,0,3,7.00,14.00,12.0,0,0,0,0,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
159,576,32995,Morgan Potgiter,3198242,SINOVILLE 4,,SINOVILLE 4,3303,1,1,7.0,50,1,50/ 1,1,26,7.14,50.00,42.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
160,576,32995,Dylan van Wyk,3277436,SINOVILLE 3,,SINOVILLE 3,3302,1,1,6.0,45,1,45/ 1,1,26,7.50,45.00,36.0,0,0,0,3,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
161,576,32995,Riaan Davel,3163488,SINOVILLE 3,,SINOVILLE 3,3302,1,1,8.0,61,1,61/ 1,0,29,7.62,61.00,48.0,0,0,0,4,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
162,576,32995,Jason Skinner,3912803,CBCOB 3,,CBCOB 3,3298,2,2,7.0,59,1,43/ 1,0,19,8.43,59.00,42.0,0,0,0,4,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
163,576,32995,Gunter Geyer,3146508,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,3,2,9.0,81,1,70/ 1,0,29,9.00,81.00,54.0,0,0,0,7,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
164,576,32995,Estiaan Blom,4143526,SINOVILLE 3,,SINOVILLE 3,3302,1,1,0.2,3,1,3/ 1,0,1,9.00,3.00,2.0,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
165,576,32995,Lessego Teffo,4196334,HARLEQUINS 3,,HARLEQUINS 3,3306,2,2,6.0,68,1,22/ 1,1,14,11.33,68.00,36.0,0,0,0,3,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
166,576,32995,Theo Van Rooyen,4196333,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,2.0,4,0,4/ 0,0,8,2.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
167,576,32995,Jaco Ferreira,3759639,SINOVILLE 3,,SINOVILLE 3,3302,1,1,5.0,12,0,12/ 0,1,24,2.40,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
168,576,32995,Sub Sub,3745392,SINOVILLE 4,,SINOVILLE 4,3303,1,1,2.0,5,0,5/ 0,0,9,2.50,0,0.0,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
169,576,32995,Wian van Deventer,3255254,SINOVILLE 4,,SINOVILLE 4,3303,1,1,4.0,11,0,11/ 0,0,0,2.75,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
170,576,32995,Pippie Kemm,3033949,PHSOB 3,,PHSOB 3,3300,2,2,9.0,25,0,11/ 0,1,42,2.78,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
171,576,32995,Tyler Miller,4163789,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,6.0,17,0,17/ 0,1,30,2.83,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
172,576,32995,Josh Joubert,4100288,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,1,2.0,6,0,6/ 0,1,9,3.00,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
173,576,32995,Ab Rasool,4116168,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,4,1,3.0,11,0,0/ 0,0,11,3.67,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
174,576,32995,Alec CBC,4046235,CBCOB 3,,CBCOB 3,3298,1,1,3.0,12,0,12/ 0,0,12,4.00,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
175,576,32995,Ruben Rossouw,4046236,CBCOB 3,,CBCOB 3,3298,1,1,3.0,13,0,13/ 0,0,10,4.33,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
176,576,32995,Riaan Coetzer,4198491,SINOVILLE 4,,SINOVILLE 4,3303,1,1,3.0,13,0,13/ 0,2,15,4.33,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
177,576,32995,Du Preez Prinsloo,3242451,SINOVILLE 4,,SINOVILLE 4,3303,2,2,12.0,53,0,16/ 0,0,13,4.42,0,0.0,0,0,0,2,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
178,576,32995,Luca Bairos,3586611,SINOVILLE 4,,SINOVILLE 4,3303,2,2,8.0,36,0,9/ 0,0,26,4.50,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
179,576,32995,Gilan Mellet,3163470,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,3.0,14,0,14/ 0,0,12,4.67,0,0.0,0,0,0,4,2,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
180,576,32995,Raymond Vd Berg,3795619,CBCOB 3,,CBCOB 3,3298,1,1,5.0,24,0,24/ 0,2,22,4.80,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
181,576,32995,Jaco CBC,4046234,CBCOB 3,,CBCOB 3,3298,1,1,5.0,24,0,24/ 0,0,21,4.80,0,0.0,0,0,0,2,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
182,576,32995,JJ Lesolang,3772080,PHSOB 3,,PHSOB 3,3300,3,1,5.0,25,0,0/ 0,0,17,5.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
183,576,32995,Nico Kruger,2936834,TUKS 5,,TUKS 5,3304,2,2,12.0,66,0,23/ 0,0,43,5.50,0,0.0,0,0,0,10,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
184,576,32995,Stephan Van den berg,3266950,CBCOB 3,,CBCOB 3,3298,1,1,8.0,44,0,44/ 0,0,30,5.50,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
185,576,32995,Marinus Langerman,4196331,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,4.0,22,0,22/ 0,0,17,5.50,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
186,576,32995,Motheo B,3795621,CBCOB 3,,CBCOB 3,3298,1,1,6.3,37,0,37/ 0,1,29,5.69,0,0.0,0,0,0,8,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
187,576,32995,Kenny Rothe,3759636,SINOVILLE 3,,SINOVILLE 3,3302,1,1,6.0,35,0,35/ 0,0,22,5.83,0,0.0,0,0,0,4,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
188,576,32995,Zian De Jager,3745433,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,1,9.0,53,0,53/ 0,1,35,5.89,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
189,576,32995,Gerrald Gouws,3056111,CBCOB 3,,CBCOB 3,3298,3,1,6.0,36,0,0/ 0,0,21,6.00,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
190,576,32995,Dieter Munnik,3795659,SINOVILLE 3,,SINOVILLE 3,3302,1,1,3.0,18,0,18/ 0,0,8,6.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
191,576,32995,Dylan Van wyk,2987473,SINOVILLE 4,,SINOVILLE 4,3303,1,1,5.0,31,0,31/ 0,0,18,6.20,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
192,576,32995,Donovan Kretschmer,3749171,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,5.0,31,0,31/ 0,0,18,6.20,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
193,576,32995,Duan St Arnaud,3145215,PHSOB 3,,PHSOB 3,3300,4,1,5.0,32,0,0/ 0,0,11,6.40,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
194,576,32995,Justin Reynolds,3713446,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,3,1,5.0,32,0,0/ 0,0,16,6.40,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
195,576,32995,Phillip Weyer,4116170,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,1,5.0,32,0,32/ 0,1,19,6.40,0,0.0,0,0,0,7,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
196,576,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,3303,2,2,7.0,45,0,12/ 0,1,20,6.43,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
197,576,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,3298,7,1,3.0,20,0,0/ 0,0,8,6.67,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
198,576,32995,Bennie Viljoen,3713450,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,4,1,3.0,20,0,0/ 0,0,11,6.67,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
199,576,32995,Christiaan Steyn,3179091,HARLEQUINS 3,,HARLEQUINS 3,3306,2,1,5.0,34,0,0/ 0,0,19,6.80,0,0.0,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
200,576,32995,Igmar Erasmus,3745422,SINOVILLE 3,,SINOVILLE 3,3302,1,1,1.0,7,0,7/ 0,0,2,7.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
201,576,32995,Pete Harlequins 3,3783175,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,1.0,7,0,7/ 0,0,3,7.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
202,576,32995,Mohammed Korowlay,4198493,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,1.0,7,0,7/ 0,0,2,7.00,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
203,576,32995,Deon Van Huysteen,3795246,SINOVILLE 4,,SINOVILLE 4,3303,1,1,3.0,22,0,22/ 0,0,12,7.33,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
204,576,32995,Zander Jordaan,2987471,SINOVILLE 4,,SINOVILLE 4,3303,2,2,4.0,30,0,10/ 0,0,12,7.50,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
205,576,32995,Nicolas Conradie,4163790,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,1,3.0,23,0,0/ 0,0,8,7.67,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
206,576,32995,Stephan Lotter,2990921,SINOVILLE 3,,SINOVILLE 3,3302,1,1,2.0,16,0,16/ 0,0,7,8.00,0,0.0,0,0,0,5,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
207,576,32995,Stiaan Schmiedeskamp,3783172,HARLEQUINS 3,,HARLEQUINS 3,3306,2,2,9.0,72,0,23/ 0,0,27,8.00,0,0.0,0,0,0,16,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
208,576,32995,Ryan Stringer,4116165,PHSOB 3,,PHSOB 3,3300,1,1,1.0,8,0,8/ 0,0,4,8.00,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
209,576,32995,HR Cbc,4143517,CBCOB 3,,CBCOB 3,3298,1,1,3.0,24,0,24/ 0,0,6,8.00,0,0.0,0,0,0,2,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
210,576,32995,Dylan Kruger,4187743,PHSOB 3,,PHSOB 3,3300,1,1,4.0,32,0,32/ 0,0,16,8.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
211,576,32995,Sieg Dorfling,4143515,CBCOB 3,,CBCOB 3,3298,1,1,5.0,41,0,41/ 0,0,10,8.20,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
212,576,32995,Papi Cbf,4143516,CBCOB 3,,CBCOB 3,3298,2,1,3.0,25,0,0/ 0,0,9,8.33,0,0.0,0,0,0,1,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
213,576,32995,Travis Joshua,3783171,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,4.0,35,0,35/ 0,0,11,8.75,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
214,576,32995,Ryan Thurbon,3771716,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,6,2,3.0,28,0,0/ 0,0,9,9.33,0,0.0,0,0,0,4,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
215,576,32995,Matthew Thurbon,2985834,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,12,4,8.0,80,0,0/ 0,0,22,10.00,0,0.0,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
216,576,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,3304,1,1,2.0,20,0,20/ 0,0,3,10.00,0,0.0,0,0,0,1,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
217,576,32995,Franco Von Mollendorf,3812051,SINOVILLE 3,,SINOVILLE 3,3302,1,1,3.0,31,0,31/ 0,0,0,10.33,0,0.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
218,576,32995,Divan Cilliers,3713448,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,13,1,3.0,32,0,0/ 0,0,7,10.67,0,0.0,0,0,0,0,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
219,576,32995,Nuzi Ndlovu,4081457,PHSOB 3,,PHSOB 3,3300,2,1,3.0,32,0,0/ 0,0,8,10.67,0,0.0,0,0,0,4,1,2023 Titans Second League
