SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
56,949,32995,League,03/21/2026,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,5429,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,5428,32995,Abandoned.,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8795&clubId=32995,2,SINOVILLE 3,0/0(0.0),,,2025/2026 TITANS SECOND LEAGUE
55,949,32995,League,03/07/2026,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,5427,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,5428,32995,IRENE VILLAGERS 3 won by 12 Runs,IRENE VILLAGERS 3: 210/7(40.0) PHSOB 3: 198/10(39.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8620&clubId=32995,0,IRENE VILLAGERS 3,210/7(40.0),PHSOB 3,198/10(39.2),2025/2026 TITANS SECOND LEAGUE
54,949,32995,League,02/28/2026,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,5429,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,5431,32995,Forfeited. Winner: TUT 3,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8557&clubId=32995,4,SINOVILLE 3,0/0(0.0),,,2025/2026 TITANS SECOND LEAGUE
53,949,32995,League,02/28/2026,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,5426,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,5432,32995,Abandoned.,HARLEQUINS 3: 211/3(32.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8556&clubId=32995,2,HARLEQUINS 3,211/3(32.0),,,2025/2026 TITANS SECOND LEAGUE
52,949,32995,League,02/28/2026,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,5430,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,5425,32995,Abandoned.,TUKS 5: 95/10(25.4) CBCOB 3: 31/4(8.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8553&clubId=32995,2,TUKS 5,95/10(25.4),CBCOB 3,31/4(8.0),2025/2026 TITANS SECOND LEAGUE
51,949,32995,League,02/21/2026,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,5430,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,5429,32995,TUKS 5 won by 22 Runs,TUKS 5: 129/10(29.0) SINOVILLE 3: 107/10(26.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8500&clubId=32995,0,TUKS 5,129/10(29.0),SINOVILLE 3,107/10(26.0),2025/2026 TITANS SECOND LEAGUE
50,949,32995,League,02/21/2026,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,5425,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,5432,32995,CBCOB 3 won by 113 Runs,CBCOB 3: 155/10(30.1) IRENE VILLAGERS 4: 42/10(15.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8483&clubId=32995,0,CBCOB 3,155/10(30.1),IRENE VILLAGERS 4,42/10(15.1),2025/2026 TITANS SECOND LEAGUE
49,949,32995,League,02/21/2026,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,5427,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,5431,32995,IRENE VILLAGERS 3 won by 94 Runs,IRENE VILLAGERS 3: 220/8(40.0) TUT 3: 126/10(36.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8480&clubId=32995,0,IRENE VILLAGERS 3,220/8(40.0),TUT 3,126/10(36.5),2025/2026 TITANS SECOND LEAGUE
48,949,32995,League,02/21/2026,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,5426,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,5428,32995,PHSOB 3 won by 6 Wickets,HARLEQUINS 3: 124/10(22.1) PHSOB 3: 125/4(18.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8474&clubId=32995,4,HARLEQUINS 3,124/10(22.1),PHSOB 3,125/4(18.5),2025/2026 TITANS SECOND LEAGUE
47,949,32995,League,02/14/2026,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,5432,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,5429,32995,Abandoned.,IRENE VILLAGERS 4: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8411&clubId=32995,2,IRENE VILLAGERS 4,0/0(0.0),,,2025/2026 TITANS SECOND LEAGUE
